congress,chamber,icpsr,state_icpsr,district_code,state_abbrev,district_id,party_code,occupancy,last_means,bioname,bioguide_id,born,died,nominate_dim1,nominate_dim2,nominate_log_likelihood,nominate_geo_mean_probability,nominate_number_of_votes,nominate_number_of_errors,conditional,nokken_poole_dim1,nokken_poole_dim2
114,President,99911,99,0,USA,,100,0,0,"OBAMA, Barack",O000167,1961,,-0.358,-0.197,,,,,,,
114,House,20301,41,3,AL,AL3,200,0,1,"ROGERS, Mike Dennis",R000575,1958,,0.36,0.463,-135.06665,0.88435,1099,60,,0.389,0.33
114,House,21102,41,7,AL,AL7,100,0,1,"SEWELL, Terri",S001185,1965,,-0.393,0.402,-178.82124,0.84503,1062,86,,-0.398,0.437
114,House,21192,41,2,AL,AL2,200,0,1,"ROBY, Martha",R000591,1976,,0.362,0.658,-91.86721,0.91953,1095,33,,0.398,0.707
114,House,21193,41,5,AL,AL5,200,0,1,"BROOKS, Mo",B001274,1954,,0.646,-0.404,-271.03738,0.78472,1118,101,,0.919,-0.395
114,House,21376,41,1,AL,AL1,200,0,1,"BYRNE, Bradley",B001289,1955,,0.61,0.25,-119.59427,0.8968,1098,48,,0.518,0.253
114,House,21500,41,6,AL,AL6,200,0,1,"PALMER, Gary James",P000609,1954,,0.682,0.091,-121.58708,0.89713,1120,48,,0.782,-0.16
114,House,29701,41,4,AL,AL4,200,0,1,"ADERHOLT, Robert",A000055,1965,,0.38,0.576,-101.81681,0.91243,1111,42,,0.399,0.917
114,House,14066,81,1,AK,AK1,200,0,1,"YOUNG, Donald Edwin",Y000033,1933,,0.283,0.022,-171.48486,0.84919,1049,72,,0.291,0.205
114,House,20304,61,8,AZ,AZ8,200,0,1,"FRANKS, Trent",F000448,1957,,0.749,0.087,-125.06434,0.89197,1094,45,,0.694,-0.044
114,House,20305,61,3,AZ,AZ3,100,0,1,"GRIJALVA, Raúl M.",G000551,1948,,-0.598,-0.256,-91.59082,0.91654,1051,35,,-0.765,-0.442
114,House,20902,61,1,AZ,AZ1,100,0,1,"KIRKPATRICK, Ann",K000368,1950,,-0.169,-0.011,-256.43061,0.78017,1033,119,,-0.25,0.173
114,House,21103,61,4,AZ,AZ4,200,0,1,"GOSAR, Paul",G000565,1958,,0.697,-0.482,-150.98729,0.86987,1083,55,,0.762,-0.519
114,House,21105,61,6,AZ,AZ6,200,0,1,"SCHWEIKERT, David",S001183,1962,,0.577,-0.292,-135.33319,0.88609,1119,56,,0.629,-0.393
114,House,21300,61,9,AZ,AZ9,100,0,1,"SINEMA, Kyrsten",S001191,1976,,-0.105,0.075,-402.07129,0.69081,1087,178,,-0.11,0.135
114,House,21501,61,2,AZ,AZ2,200,0,1,"McSALLY, Martha",M001197,1966,,0.345,0.027,-199.52463,0.83748,1125,95,,0.321,0.006
114,House,21502,61,7,AZ,AZ7,100,0,1,"GALLEGO, Ruben",G000574,1979,,-0.45,0.026,-80.46853,0.93007,1110,27,,-0.483,-0.013
114,House,29500,61,5,AZ,AZ5,200,0,1,"SALMON, Matthew James",S000018,1958,,0.673,-0.272,-162.72287,0.862,1092,62,,0.637,-0.32
114,House,21106,42,1,AR,AR1,200,0,1,"CRAWFORD, Rick",C001087,1966,,0.432,0.487,-97.86746,0.9136,1083,36,,0.432,0.364
114,House,21108,42,3,AR,AR3,200,0,1,"WOMACK, Steve",W000809,1957,,0.356,0.574,-65.96748,0.94305,1125,20,,0.346,0.838
114,House,21503,42,2,AR,AR2,200,0,1,"HILL, French",H001072,1956,,0.444,0.25,-115.78318,0.90187,1121,50,,0.466,0.177
114,House,21563,42,4,AR,AR4,200,0,1,"WESTERMAN, Bruce Eugene",W000821,1967,,0.549,0.346,-78.36573,0.93254,1122,31,,0.526,0.423
114,House,15448,71,12,CA,CA12,100,0,1,"PELOSI, Nancy",P000197,1940,,-0.49,-0.205,-64.12142,0.9401,1038,23,,-0.499,-0.001
114,House,15621,71,48,CA,CA48,200,0,1,"ROHRABACHER, Dana",R000409,1947,,0.626,-0.417,-166.27484,0.85995,1102,74,,0.612,-0.501
114,House,20103,71,17,CA,CA17,100,0,1,"HONDA, Mike",H001034,1941,,-0.529,-0.482,-57.09059,0.95,1113,27,,-0.528,-0.6
114,House,20104,71,28,CA,CA28,100,0,1,"SCHIFF, Adam",S001150,1960,,-0.35,-0.133,-83.92802,0.92762,1117,29,,-0.409,-0.052
114,House,20107,71,49,CA,CA49,200,0,1,"ISSA, Darrell",I000056,1953,,0.496,-0.046,-140.38481,0.87874,1086,59,,0.501,-0.115
114,House,20108,71,53,CA,CA53,100,0,1,"DAVIS, Susan A.",D000598,1944,,-0.343,-0.103,-96.16715,0.91758,1118,33,,-0.384,0.071
