State,Congressional District ID,Congressional District Name,Number,Percent,Number,Percent
New York,3615,Congressional District 15,278534,0.361882388591766,463668,0.602415800094604
Michigan,2613,Congressional District 13,196831,0.295968651771545,325773,0.489854753017426
Kentucky,2105,Congressional District 5,195261,0.291033387184143,336103,0.500956118106842
Texas,4834,Congressional District 34,197218,0.27774366736412,350383,0.493447154760361
Louisiana,2202,Congressional District 2,210533,0.270535290241241,363722,0.467383444309235
California,616,Congressional District 16,189477,0.267389476299286,353668,0.499095410108566
Mississippi,2802,Congressional District 2,175751,0.261545121669769,329629,0.490539789199829
Pennsylvania,4202,Congressional District 2,180038,0.259588688611984,290442,0.418775260448456
Texas,4815,Congressional District 15,198707,0.257009983062744,370435,0.479124993085861
Ohio,3911,Congressional District 11,167556,0.255715817213058,285767,0.436123698949814
New York,3613,Congressional District 13,201488,0.254222691059113,352645,0.444941431283951
Louisiana,2205,Congressional District 5,173578,0.250953853130341,312838,0.452291756868362
Georgia,1302,Congressional District 2,158438,0.249537348747253,284250,0.447689265012741
California,621,Congressional District 21,169651,0.247301787137985,359395,0.523893296718597
Alabama,107,Congressional District 7,158994,0.246322453022003,293373,0.454509973526001
Arizona,407,Congressional District 7,198403,0.242103680968285,402123,0.490695506334305
Texas,4829,Congressional District 29,182845,0.241055905818939,377665,0.497899204492569
Tennessee,4709,Congressional District 9,163877,0.240349471569061,301178,0.441721379756927
Pennsylvania,4201,Congressional District 1,170629,0.239434272050858,288712,0.405133634805679
South Carolina,4506,Congressional District 6,149620,0.237659558653831,287008,0.45588955283165
Texas,4828,Congressional District 28,176085,0.236026853322983,331604,0.444486737251282
West Virginia,5403,Congressional District 3,131936,0.232847824692726,244659,0.431787490844727
Louisiana,2204,Congressional District 4,169367,0.232139647006989,322263,0.441703647375107
New York,3607,Congressional District 7,171279,0.22958205640316,312575,0.418974936008453
California,640,Congressional District 40,165889,0.225799471139908,349181,0.475286990404129
Wisconsin,5504,Congressional District 4,155139,0.224664926528931,298009,0.431562483310699
Texas,4818,Congressional District 18,174741,0.224270164966583,353533,0.453739583492279
California,634,Congressional District 34,165549,0.221400037407875,331403,0.443207979202271
Florida,1205,Congressional District 5,153615,0.219821810722351,297529,0.425761580467224
Ohio,3903,Congressional District 3,166446,0.219422191381454,296704,0.391138523817062
New Mexico,3503,Congressional District 3,149121,0.217635154724121,266842,0.38944348692894
New Mexico,3502,Congressional District 2,145364,0.216360867023468,292405,0.435217797756195
Illinois,1707,Congressional District 7,142629,0.211803644895554,250069,0.371351718902588
Texas,4833,Congressional District 33,158095,0.211523801088333,354701,0.474573522806168
New York,3608,Congressional District 8,165692,0.21111886203289,289323,0.36864510178566
North Carolina,3701,Congressional District 1,153453,0.210875436663628,291306,0.400313317775726
Michigan,2614,Congressional District 14,142741,0.208713129162788,262198,0.383380860090256
Florida,1224,Congressional District 24,155331,0.204862698912621,339026,0.447134077548981
Texas,4816,Congressional District 16,147541,0.202613055706024,304259,0.417828559875488
Missouri,2908,Congressional District 8,142608,0.201129987835884,295331,0.4165258705616
Arizona,403,Congressional District 3,149031,0.2000582665205,326594,0.438417702913284
California,651,Congressional District 51,141754,0.199043780565262,297441,0.417651563882828
Ohio,3909,Congressional District 9,139941,0.198629453778267,264165,0.374950498342514
Georgia,1308,Congressional District 8,133792,0.197489455342293,261705,0.386300981044769
Indiana,1807,Congressional District 7,146135,0.197455450892448,305734,0.413103252649307
Georgia,1312,Congressional District 12,135186,0.196986898779869,262855,0.383020371198654
Oklahoma,4002,Congressional District 2,141549,0.19649375975132,304361,0.422504156827927
Mississippi,2803,Congressional District 3,142020,0.196284383535385,266664,0.368553578853607
Arkansas,504,Congressional District 4,134200,0.195201426744461,285395,0.415123015642166
Texas,4835,Congressional District 35,158277,0.194955304265022,325439,0.400854587554932
Texas,4830,Congressional District 30,146458,0.193131253123283,309996,0.408785581588745
South Carolina,4507,Congressional District 7,135624,0.192491054534912,281643,0.39973571896553
Arizona,401,Congressional District 1,140579,0.192223757505417,269837,0.36896750330925
Georgia,1305,Congressional District 5,142775,0.191667959094048,274877,0.369007974863052
Illinois,1713,Congressional District 13,124030,0.188785210251808,216388,0.329362690448761
Nevada,3201,Congressional District 1,133592,0.188306272029877,290419,0.409363716840744
New York,3626,Congressional District 26,130222,0.187496587634087,231899,0.333893418312073
Massachusetts,2507,Congressional District 7,141638,0.187070250511169,242830,0.320720911026001
Virginia,5109,Congressional District 9,126607,0.186910763382912,245591,0.362567663192749
Illinois,1702,Congressional District 2,129439,0.186851307749748,246012,0.355129927396774
California,644,Congressional District 44,132474,0.186476990580559,308354,0.434054434299469
Michigan,2605,Congressional District 5,124574,0.186252146959305,240415,0.359447479248047
Arkansas,501,Congressional District 1,128716,0.186208665370941,268632,0.388619959354401
California,637,Congressional District 37,129856,0.185427248477936,246965,0.352652490139008
Texas,4801,Congressional District 1,126208,0.183062165975571,255254,0.370240807533264
Texas,4817,Congressional District 17,135063,0.18260270357132,261530,0.353583753108978
Illinois,1712,Congressional District 12,122204,0.182335793972015,222689,0.33226552605629
Florida,1203,Congressional District 3,128260,0.181951269507408,246027,0.349017053842545
California,608,Congressional District 8,127954,0.181854352355003,257822,0.366429001092911
Alabama,102,Congressional District 2,117807,0.180466085672379,234476,0.359188914299011
Kentucky,2101,Congressional District 1,124257,0.18035601079464,254448,0.36932510137558
Mississippi,2804,Congressional District 4,134817,0.179921761155128,274123,0.365834385156631
California,606,Congressional District 6,135037,0.178859084844589,277010,0.366905033588409
California,636,Congressional District 36,129747,0.178540512919426,275724,0.379414588212967
Illinois,1701,Congressional District 1,126682,0.178496748209,237564,0.334731072187424
Texas,4809,Congressional District 9,140078,0.178418770432472,311906,0.39727783203125
California,623,Congressional District 23,129467,0.17840488255024,266066,0.366637647151947
Missouri,2901,Congressional District 1,126348,0.178272813558578,253008,0.356985837221146
Alabama,103,Congressional District 3,122428,0.177671357989311,251626,0.365167558193207
California,622,Congressional District 22,133283,0.177499085664749,275211,0.366511106491089
Louisiana,2203,Congressional District 3,137035,0.176867514848709,278418,0.359346866607666
Florida,1220,Congressional District 20,134171,0.176483437418938,299976,0.394577026367188
Florida,1214,Congressional District 14,134365,0.176313281059265,257535,0.337936520576477
Alabama,104,Congressional District 4,119227,0.176134452223778,242308,0.357962429523468
Texas,4820,Congressional District 20,139412,0.175868704915047,292810,0.369380801916122
Ohio,3913,Congressional District 13,121115,0.174534901976585,248727,0.358432412147522
West Virginia,5401,Congressional District 1,101608,0.173052594065666,193204,0.329053342342377
Virginia,5103,Congressional District 3,122872,0.172576189041138,232268,0.326225072145462
North Carolina,3707,Congressional District 7,135087,0.172405570745468,278867,0.355905622243881
Texas,4823,Congressional District 23,127836,0.171212524175644,283166,0.379248142242432
California,601,Congressional District 1,118506,0.170599117875099,235598,0.339162677526474
Alabama,101,Congressional District 1,119104,0.170360788702965,236816,0.338730543851852
California,646,Congressional District 46,122354,0.170092731714249,267930,0.372467994689941
Texas,4819,Congressional District 19,117599,0.169802606105804,245014,0.353778660297394
North Carolina,3705,Congressional District 5,124060,0.168921500444412,247225,0.336624354124069
West Virginia,5402,Congressional District 2,102757,0.168814703822136,199605,0.327921777963638
New Jersey,3410,Congressional District 10,127702,0.167564392089844,258048,0.338598132133484
North Carolina,3703,Congressional District 3,120274,0.167356833815575,235912,0.328262835741043
South Carolina,4503,Congressional District 3,111340,0.167318612337112,240188,0.360947757959366
Pennsylvania,4214,Congressional District 14,110505,0.167318239808083,217002,0.328567892313004
District of Columbia,1198,Delegate District (at Large),109920,0.166383609175682,178923,0.270832002162933
California,643,Congressional District 43,122701,0.166270524263382,263096,0.356517970561981
Tennessee,4701,Congressional District 1,115563,0.166037365794182,261300,0.375427812337875
Illinois,1717,Congressional District 17,110519,0.165810003876686,223308,0.335025668144226
Kentucky,2106,Congressional District 6,123953,0.165736719965935,238481,0.318871319293976
Georgia,1301,Congressional District 1,119759,0.165725886821747,251870,0.348544836044312
Oklahoma,4005,Congressional District 5,132844,0.165723338723183,279023,0.348082154989243
